% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_EV_D - Lin_EV_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)
379.26901907322497                                4.480687327226619E-12+7.024813515683234i
379.26901907322497                                -9.00456396468485E-7-1.8972524523722603E-15i
379.26901907322497                                -4.3698587143806515E-12-7.024815946393581i
379.26901907322497                                -9.004526181677916E-7+3.013839452251459E-15i
379.26901907322497                                -4.3698587143806515E-12+7.024815946393581i
379.26901907322497                                -9.004526181677916E-7-3.013839452251459E-15i
379.26901907322497                                5.634666112908615E-13-8.88576587631689i
379.26901907322497                                -5.319171875284998E-13+6.547026948703133E-16i
379.26901907322497                                5.634666112908615E-13+8.88576587631689i
379.26901907322497                                -5.319171875284998E-13-6.547026948703133E-16i
379.26901907322497                                -1.3881645101307073E-11-9.934588265800327i
379.26901907322497                                -0.3619442856661289-4.200008862289715E-16i
379.26901907322497                                -1.3881645101307073E-11+9.934588265800327i
379.26901907322497                                -0.3619442856661289+4.200008862289715E-16i
784.7599703514607                                 1.3410636415111705E-14-4.442882938153985i
784.7599703514607                                 -0.8105694691373772
784.7599703514607                                 1.3410636415111705E-14+4.442882938153985i
784.7599703514607                                 -0.8105694691373772
784.7599703514607                                 -4.46706882929122E-12-7.02481221628973i
784.7599703514607                                 -1.8631621116501195E-6+7.95151213088019E-16i
784.7599703514607                                 -4.46706882929122E-12+7.02481221628973i
784.7599703514607                                 -1.8631621116501195E-6-7.95151213088019E-16i
784.7599703514607                                 4.379344710935957E-12-7.0248172457641544i
784.7599703514607                                 -1.8631673788494657E-6-1.8077695128528743E-15i
784.7599703514607                                 4.379344710935957E-12+7.0248172457641544i
784.7599703514607                                 -1.8631673788494657E-6+1.8077695128528743E-15i
784.7599703514607                                 2.1350213213252353E-14-8.885765876277606i
784.7599703514607                                 -7.053691992875367E-12-4.594348364790925E-17i
784.7599703514607                                 2.1350213213252353E-14+8.885765876277606i
784.7599703514607                                 -7.053691992875367E-12+4.594348364790925E-17i
784.7599703514607                                 -7.822554399554721E-11-9.934588265812188i
784.7599703514607                                 -0.3619442847340919
784.7599703514607                                 -7.822554399554721E-11+9.934588265812188i
784.7599703514607                                 -0.3619442847340919
1623.776739188721                                 -6.068229122825705E-15-4.442882938124492i
1623.776739188721                                 -0.8105694691331101
1623.776739188721                                 -6.068229122825705E-15+4.442882938124492i
1623.776739188721                                 -0.8105694691331101
