% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_EV_N - Lin_EV_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
263665.08987303555                                -2.083457303569697E-5-4.442881031150678i          -2.083457303569697E-5-4.442881031150678i          4.442881031199529
263665.08987303555                                -1.9707424510421046E-4-1.6848728208971334E-7i     -2.083457303569697E-5+4.442881031150678i          4.442881031199529
263665.08987303555                                -2.083457303569697E-5+4.442881031150678i          -6.550921994735252E-6-6.283166792377813i          6.283166792381228
263665.08987303555                                -1.9707424510421046E-4+1.6848728208971334E-7i     -6.550921994735252E-6+6.283166792377813i          6.283166792381228
263665.08987303555                                -6.550921994735252E-6-6.283166792377813i          -5.186626326626263E-6-3.1408689002115953i         3.1408689002158776
263665.08987303555                                -9.016498015928838E-4-1.4524863080043365E-4i      -5.186626326626263E-6+3.1408689002115953i         3.1408689002158776
263665.08987303555                                -6.550921994735252E-6+6.283166792377813i          -5.197574701978858E-6-3.1423156591982147i         3.142315659202513
263665.08987303555                                -9.016498015928838E-4+1.4524863080043365E-4i      -5.197574701978858E-6+3.1423156591982147i         3.142315659202513
263665.08987303555                                -5.186626326626263E-6-3.1408689002115953i         2.2021092663747553E-15-3.42350815213615E-6i       3.42350815213615E-6
263665.08987303555                                -8.822731273189873E-4+1.4417711926160013E-8i      2.2021092663747553E-15+3.42350815213615E-6i       3.42350815213615E-6
545559.4781168514                                 -2.7450818045876535E-5-6.283174487266135i         -2.7450818045876535E-5-6.283174487266135i         6.2831744873261
545559.4781168514                                 0.0022675960396879276+1.5353414102670083E-4i      -2.7450818045876535E-5+6.283174487266135i         6.2831744873261
545559.4781168514                                 -2.7450818045876535E-5+6.283174487266135i         8.194355894052777E-15-3.4633616134679524E-6i      3.4633616134679524E-6
545559.4781168514                                 0.0022675960396879276-1.5353414102670083E-4i      8.194355894052777E-15+3.4633616134679524E-6i      3.4633616134679524E-6
545559.4781168514                                 8.194355894052777E-15-3.4633616134679524E-6i      -3.79058291084023E-8-3.1430747820381457i          3.143074782038146
545559.4781168514                                 -1.0000000000001554-5.122811579946156E-16i        -3.79058291084023E-8+3.1430747820381457i          3.143074782038146
545559.4781168514                                 8.194355894052777E-15+3.4633616134679524E-6i      1.5467323238364922E-6-4.442848048185573i          4.442848048185843
545559.4781168514                                 -1.0000000000001554+5.122811579946156E-16i        1.5467323238364922E-6+4.442848048185573i          4.442848048185843
545559.4781168514                                 -3.79058291084023E-8-3.1430747820381457i          1.7654711449650156E-5-3.1401132483640293i         3.1401132484136594
545559.4781168514                                 -0.0013843505099588947-2.0582704369030364E-7i     1.7654711449650156E-5+3.1401132483640293i         3.1401132484136594
1128837.8916846884                                -1.4607649487363718E-5-6.283152085541322i         -1.4607649487363718E-5-6.283152085541322i         6.283152085558302
1128837.8916846884                                -0.0023511251905253185-2.740985599836335E-4i      -1.4607649487363718E-5+6.283152085541322i         6.283152085558302
1128837.8916846884                                -1.4607649487363718E-5+6.283152085541322i         2.2229692033049206E-15-3.4340909243560926E-6i     3.4340909243560926E-6
1128837.8916846884                                -0.0023511251905253185+2.740985599836335E-4i      2.2229692033049206E-15+3.4340909243560926E-6i     3.4340909243560926E-6
1128837.8916846884                                2.2229692033049206E-15-3.4340909243560926E-6i     1.3510150467797912E-5-3.1384957155583892i         3.1384957155874673
1128837.8916846884                                -1.0000000000001554-3.8143533552356653E-16i       1.3510150467797912E-5+3.1384957155583892i         3.1384957155874673
1128837.8916846884                                2.2229692033049206E-15+3.4340909243560926E-6i     1.3675962304382693E-5-3.1446794854012596i         3.1446794854309976
1128837.8916846884                                -1.0000000000001554+3.8143533552356653E-16i       1.3675962304382693E-5+3.1446794854012596i         3.1446794854309976
1128837.8916846884                                1.3510150467797912E-5-3.1384957155583892i         5.4886711807061945E-5-4.442847337973342i          4.442847338312376
1128837.8916846884                                -0.0034321555553909634-1.6491696847238904E-8i     5.4886711807061945E-5+4.442847337973342i          4.442847338312376
2335721.4690901213                                6.031888377911497E-15-3.4446940381092457E-6i      6.031888377911497E-15-3.4446940381092457E-6i      3.4446940381092457E-6
2335721.4690901213                                -1.0000000000001554                               6.031888377911497E-15+3.4446940381092457E-6i      3.4446940381092457E-6
2335721.4690901213                                6.031888377911497E-15+3.4446940381092457E-6i      1.4213891148586343E-5-3.135259977399551i          3.1352599774317707
2335721.4690901213                                -1.0000000000001554                               1.4213891148586343E-5+3.135259977399551i          3.1352599774317707
2335721.4690901213                                1.4213891148586343E-5-3.135259977399551i          1.4934495207398914E-5-3.147882878480859i          3.1478828785162856
2335721.4690901213                                -0.007016328976004474-3.247535029817577E-8i       1.4934495207398914E-5+3.147882878480859i          3.1478828785162856
2335721.4690901213                                1.4213891148586343E-5+3.135259977399551i          3.392596602024405E-5-4.442727232109327i           4.442727232238862
2335721.4690901213                                -0.007016328976004474+3.247535029817577E-8i       3.392596602024405E-5+4.442727232109327i           4.442727232238862
2335721.4690901213                                1.4934495207398914E-5-3.147882878480859i          3.5210078670456044E-5-6.283100968171347i          6.283100968270004
2335721.4690901213                                -0.007039781767836056+2.482431609047738E-8i       3.5210078670456044E-5+6.283100968171347i          6.283100968270004
4832930.238571752                                 -8.16888173463609E-6-3.128434211884113i           -8.16888173463609E-6-3.128434211884113i           3.128434211894778
4832930.238571752                                 -0.014820463798455226-3.715511774174841E-8i       -8.16888173463609E-6+3.128434211884113i           3.128434211894778
4832930.238571752                                 -8.16888173463609E-6+3.128434211884113i           -6.9345077193069774E-6-6.282747799105284i         6.282747799109111
4832930.238571752                                 -0.014820463798455226+3.715511774174841E-8i       -6.9345077193069774E-6+6.282747799105284i         6.282747799109111
4832930.238571752                                 -6.9345077193069774E-6-6.282747799105284i         -1.815694519329582E-6-3.1545691993931015i         3.1545691993936242
4832930.238571752                                 0.002720448186752851-5.078186028175949E-4i        -1.815694519329582E-6+3.1545691993931015i         3.1545691993936242
4832930.238571752                                 -6.9345077193069774E-6+6.282747799105284i         -2.3045321458952825E-16-3.5786900043781603E-6i    3.5786900043781603E-6
4832930.238571752                                 0.002720448186752851+5.078186028175949E-4i        -2.3045321458952825E-16+3.5786900043781603E-6i    3.5786900043781603E-6
4832930.238571752                                 -1.815694519329582E-6-3.1545691993931015i         6.487975654899436E-6-4.442206368906144i           4.442206368910882
4832930.238571752                                 -0.01654193207181859+2.9185254937010453E-8i       6.487975654899436E-6+4.442206368906144i           4.442206368910882
10000000                                          -8.961458400162372E-6-4.44004925829104i           -8.961458400162372E-6-4.44004925829104i           4.440049258300084
10000000                                          -0.0018210133604420504+8.14800394257979E-8i       -8.961458400162372E-6+4.44004925829104i           4.440049258300084
10000000                                          -8.961458400162372E-6+4.44004925829104i           -3.844646287036001E-6-6.281787963320738i          6.281787963321915
10000000                                          -0.0018210133604420504-8.14800394257979E-8i       -3.844646287036001E-6+6.281787963320738i          6.281787963321915
10000000                                          -3.844646287036001E-6-6.281787963320738i          2.2904115118756884E-14-3.4400679557854695E-6i     3.4400679557854695E-6
10000000                                          0.0011860151226994128+1.9148482460425066E-5i      2.2904115118756884E-14+3.4400679557854695E-6i     3.4400679557854695E-6
10000000                                          -3.844646287036001E-6+6.281787963320738i          1.852863988316134E-6-3.1141510259001715i          3.1141510259007226
10000000                                          0.0011860151226994128-1.9148482460425066E-5i      1.852863988316134E-6+3.1141510259001715i          3.1141510259007226
10000000                                          2.2904115118756884E-14-3.4400679557854695E-6i     1.5103054305696375E-6-3.1682522037155567i         3.168252203715917
10000000                                          -1.000000000000155-1.489480220123186E-16i         1.5103054305696375E-6+3.1682522037155567i         3.168252203715917
