% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_EV_D - Full_EV_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)
1623.776739188721                                 -0.3619442828241299-6.899503187594224E-17i
3359.818286283781                                 -1.1472890353254593E-14-4.442882938081808i
3359.818286283781                                 -0.810569469114513
3359.818286283781                                 -1.1472890353254593E-14+4.442882938081808i
3359.818286283781                                 -0.810569469114513
3359.818286283781                                 3.2739955897968946E-12-7.024803964515162i
3359.818286283781                                 -7.976821368914951E-6+4.002102719207613E-15i
3359.818286283781                                 3.2739955897968946E-12+7.024803964515162i
3359.818286283781                                 -7.976821368914951E-6-4.002102719207613E-15i
3359.818286283781                                 -3.2742866440465904E-12-7.024825497367582i
3359.818286283781                                 -7.976834066084578E-6-2.8164836442035713E-15i
3359.818286283781                                 -3.2742866440465904E-12+7.024825497367582i
3359.818286283781                                 -7.976834066084578E-6+2.8164836442035713E-15i
3359.818286283781                                 -2.6314054687690825E-13-8.885765875772103i
3359.818286283781                                 -1.523361417281053E-10-1.9198804063014105E-17i
3359.818286283781                                 -2.6314054687690825E-13+8.885765875772103i
3359.818286283781                                 -1.523361417281053E-10+1.9198804063014105E-17i
3359.818286283781                                 -5.138660689635036E-10-9.934588266468403i
3359.818286283781                                 -0.36194427883833796+1.785394747055462E-15i
3359.818286283781                                 -5.138660689635036E-10+9.934588266468403i
3359.818286283781                                 -0.36194427883833796-1.785394747055462E-15i
6951.927961775606                                 -2.5450233112844038E-14-4.442882937868034i
6951.927961775606                                 -0.810569469035139
6951.927961775606                                 -2.5450233112844038E-14+4.442882937868034i
6951.927961775606                                 -0.810569469035139
6951.927961775606                                 -4.468466341583096E-12-7.02479245342168i
6951.927961775606                                 -1.650512846184112E-5+7.620667655966503E-15i
6951.927961775606                                 -4.468466341583096E-12+7.02479245342168i
6951.927961775606                                 -1.650512846184112E-5-7.620667655966503E-15i
6951.927961775606                                 4.3823501723468706E-12-7.024837007861275i
6951.927961775606                                 -1.6505188226893597E-5+1.920616774270029E-15i
6951.927961775606                                 4.3823501723468706E-12+7.024837007861275i
6951.927961775606                                 -1.6505188226893597E-5-1.920616774270029E-15i
6951.927961775606                                 1.3209593629404813E-13-8.885765873989046i
6951.927961775606                                 -6.545200988809561E-10-1.2459334749285342E-17i
6951.927961775606                                 1.3209593629404813E-13+8.885765873989046i
6951.927961775606                                 -6.545200988809561E-10+1.2459334749285342E-17i
6951.927961775606                                 4.848139533885335E-13-9.934588265292623i
6951.927961775606                                 -0.3619442706385427+1.4491852036312004E-16i
6951.927961775606                                 4.848139533885335E-13+9.934588265292623i
6951.927961775606                                 -0.3619442706385427-1.4491852036312004E-16i
14384.498882876629                                -1.2473214017440428E-13-4.44288293690934i
14384.498882876629                                -0.8105694686953647
14384.498882876629                                -1.2473214017440428E-13+4.44288293690934i
14384.498882876629                                -0.8105694686953647
14384.498882876629                                9.836520812155538E-13-7.024768634678325i
14384.498882876629                                -3.415133042145231E-5-4.220941499641912E-15i
14384.498882876629                                9.836520812155538E-13+7.024768634678325i
14384.498882876629                                -3.415133042145231E-5+4.220941499641912E-15i
14384.498882876629                                -9.750063585191968E-13-7.024860823970664i
14384.498882876629                                -3.415157207192459E-5+5.21339766736812E-15i
14384.498882876629                                -9.750063585191968E-13+7.024860823970664i
