% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_EV_N - Full_EV_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
784.7599703514607                                 1.3625126241303903E-13-1.3508374418519445E-6i     0.008769442017761841-6.284425304019969i           6.284431422564795
784.7599703514607                                 -1.000000000000204                                0.008769442017761841+6.284425304019969i           6.284431422564795
784.7599703514607                                 1.3625126241303903E-13+1.3508374418519445E-6i     0.010749985794554301-4.4444241267624545i          4.444437127549763
784.7599703514607                                 -1.000000000000204                                0.010749985794554301+4.4444241267624545i          4.444437127549763
784.7599703514607                                 0.008769442017761841-6.284425304019969i           0.011135610401343886-3.1417617456601943i          3.141781480038483
784.7599703514607                                 -0.9451202385065074+2.8423105809103092E-5i        0.011135610401343886+3.1417617456601943i          3.141781480038483
1623.776739188721                                 -6.86763379342708E-5-6.283138768921799i           -6.86763379342708E-5-6.283138768921799i           6.283138769297124
1623.776739188721                                 -0.006391543045797679-9.050327760194738E-4i       -6.86763379342708E-5+6.283138768921799i           6.283138769297124
1623.776739188721                                 -6.86763379342708E-5+6.283138768921799i           -1.738605321167094E-5-4.44288324836089i           4.442883248394908
1623.776739188721                                 -0.006391543045797679+9.050327760194738E-4i       -1.738605321167094E-5+4.44288324836089i           4.442883248394908
1623.776739188721                                 -1.738605321167094E-5-4.44288324836089i           7.35231827750806E-15-2.7607255302788053E-6i       2.7607255302788053E-6
1623.776739188721                                 -5.328873278320241E-4-1.4360226322457548E-7i      7.35231827750806E-15+2.7607255302788053E-6i       2.7607255302788053E-6
1623.776739188721                                 -1.738605321167094E-5+4.44288324836089i           5.541566833696853E-6-3.141635370423838i           3.141635370428725
1623.776739188721                                 -5.328873278320241E-4+1.4360226322457548E-7i      5.541566833696853E-6+3.141635370423838i           3.141635370428725
1623.776739188721                                 7.35231827750806E-15-2.7607255302788053E-6i       5.580240353104873E-6-3.1415501845064524i          3.1415501845114084
1623.776739188721                                 -1.0000000000000813+4.0413584437140743E-16i       5.580240353104873E-6+3.1415501845064524i          3.1415501845114084
3359.818286283781                                 -1.261797316426602E-5-6.2831861512624405i         -1.261797316426602E-5-6.2831861512624405i         6.28318615127511
3359.818286283781                                 -2.5351519472012766E-4-6.236423549724648E-4i      -1.261797316426602E-5+6.2831861512624405i         6.28318615127511
